Echipa,Adversar_1,Rezultat_1,Adversar_2,Rezultat_2,Adversar_3,Rezultat_3,Adversar_4,Rezultat_4,Adversar_5,Rezultat_5,Adversar_6,Rezultat_6,Puncte_Totale,Buchholz_Total
LitEnergy,K9 Team,2-0,La Passion,2-1,XPlosion,2-0,VeryGoodTeam,2-1,Saponel,2-0,Wenzo,2-1,6,0
K9 Team,LitEnergy,0-2,VeryGoodTeam,1-2,Saponel,2-0,Wenzo,2-1,Bobb3rs,2-0,La Passion,2-1,4,0
La Passion,Saponel,2-1,LitEnergy,1-2,Wenzo,2-0,Bobb3rs,2-1,XPlosion,2-0,K9 Team,1-2,4,0
XPlosion,Wenzo,2-0,Bobb3rs,2-1,LitEnergy,0-2,La Passion,1-2,VeryGoodTeam,2-0,Saponel,2-1,4,0
VeryGoodTeam,Bobb3rs,2-1,K9 Team,2-1,La Passion,1-2,LitEnergy,1-2,XPlosion,0-2,Wenzo,2-0,3,0
Saponel,La Passion,1-2,Wenzo,2-0,K9 Team,0-2,Bobb3rs,2-1,LitEnergy,0-2,XPlosion,1-2,2,0
Wenzo,XPlosion,0-2,Saponel,0-2,La Passion,0-2,K9 Team,1-2,Bobb3rs,2-1,VeryGoodTeam,0-2,1,0
Bobb3rs,VeryGoodTeam,1-2,XPlosion,1-2,Wenzo,2-0,Saponel,1-2,K9 Team,0-2,La Passion,2-1,2,0
Legalize,Into the Beach,2-0,Cadian Team,2-1,BaitMD,1-2,Muligambia,2-0,Killuminaty,2-1,Xtreme Players,2-0,5,0
Into the Beach,Legalize,0-2,BaitMD,2-1,Muligambia,2-0,Killuminaty,1-2,Xtreme Players,2-0,Golden Five,2-1,4,0
Cadian Team,BaitMD,2-0,Legalize,1-2,Killuminaty,2-1,Xtreme Players,2-0,Golden Five,1-2,Muligambia,2-1,4,0
BaitMD,Cadian Team,0-2,Into the Beach,1-2,Legalize,2-1,Golden Five,2-0,Muligambia,2-1,Killuminaty,2-0,4,0
Muligambia,Killuminaty,2-1,Xtreme Players,2-0,Into the Beach,0-2,Legalize,0-2,BaitMD,1-2,Cadian Team,1-2,2,0
Killuminaty,Muligambia,1-2,Golden Five,2-0,Cadian Team,1-2,Into the Beach,2-1,Legalize,1-2,BaitMD,0-2,2,0
Xtreme Players,Golden Five,2-1,Muligambia,0-2,Cadian Team,0-2,Killuminaty,2-1,Into the Beach,0-2,Legalize,0-2,2,0
Golden Five,Xtreme Players,1-2,Killuminaty,0-2,BaitMD,0-2,Cadian Team,2-1,Into the Beach,2-1,Muligambia,2-0,3,0